config,policy,param,n_proteins,mean_k,proposed_per_step,acceptance_rate,mean_K_used
prefix_p5,conf,0.3,40,8.6563,8.8191,0.8393,8.8191
prefix_p5,conf,0.4,40,7.2871,6.9036,0.8953,6.9036
prefix_p5,conf,0.5,40,5.8532,5.0177,0.9458,5.0177
prefix_p5,conf,0.6,40,4.2484,3.2969,0.972,3.2969
prefix_p5,conf,0.7,40,2.6665,1.6843,0.9542,1.6843
prefix_p5,conf,0.8,40,1.0,0.0,0.0,0.0
prefix_p5,conf,0.9,40,1.0,0.0,0.0,0.0
prefix_p5,conf,0.95,40,1.0,0.0,0.0,0.0
prefix_p5,fixed,1,40,1.9287,1.0,0.9334,1.0
prefix_p5,fixed,11,40,9.023,10.6465,0.7555,10.6465
prefix_p5,fixed,15,40,11.1929,14.3928,0.7079,14.3928
prefix_p5,fixed,2,40,2.789,1.9925,0.9038,1.9925
prefix_p5,fixed,3,40,3.6134,2.983,0.8803,2.983
prefix_p5,fixed,4,40,4.4057,3.9544,0.8652,3.9544
prefix_p5,fixed,5,40,5.1483,4.9295,0.8456,4.9295
prefix_p5,fixed,6,40,5.829,5.8858,0.8244,5.8858
prefix_p5,fixed,8,40,7.2003,7.8282,0.7955,7.8282
prefix_p5,heuristic,k_init=5,40,9.7445,11.0134,0.7639,11.0134
static,conf,0.3,40,9.8002,14.2424,0.6101,14.2424
static,conf,0.4,40,8.873,11.5923,0.6697,11.5923
static,conf,0.5,40,7.4959,8.0895,0.7838,8.0895
static,conf,0.6,40,6.2473,5.7064,0.894,5.7064
static,conf,0.7,40,4.76,3.9004,0.9597,3.9004
static,conf,0.8,40,1.0,0.0,0.0,0.0
static,conf,0.9,40,1.0,0.0,0.0,0.0
static,conf,0.95,40,1.0,0.0,0.0,0.0
static,fixed,1,40,1.8831,1.0,0.8866,1.0
static,fixed,11,40,7.9119,10.6668,0.6505,10.6668
static,fixed,15,40,9.5726,14.315,0.601,14.315
static,fixed,2,40,2.6722,1.9925,0.8449,1.9925
static,fixed,3,40,3.4059,2.9839,0.8102,2.9839
static,fixed,4,40,4.0888,3.9588,0.7843,3.9588
static,fixed,5,40,4.743,4.9336,0.7625,4.9336
static,fixed,6,40,5.2873,5.8908,0.7324,5.8908
static,fixed,8,40,6.386,7.7982,0.6952,7.7982
static,heuristic,k_init=5,40,8.2754,9.9291,0.6837,9.9291
