p_group,rows,proteins,mean,median,std,q1,q3,metric
PU,92,92,37.76958301086957,27.106577,43.37236683197482,10.41888875,42.1729095,wall_s
p=1,92,92,44.87073819565217,37.390638,41.16080979986035,13.203644,60.4146565,wall_s
p=2,92,92,42.548492760869564,33.926756999999995,39.48918504779792,12.457827,53.71426325,wall_s
p=4,92,92,42.49755679347826,34.475451,39.42977272304194,12.47866625,54.22093625,wall_s
p=8,92,92,42.77905563043478,34.9692205,39.49204103292473,12.9843045,53.463215749999996,wall_s
p=16,92,92,42.914621195652174,35.064282500000004,39.41226000076147,13.35547425,53.92656475,wall_s
PU,92,92,6.4844497065217395,6.5498005,0.4658801851895309,6.116194,6.7587779999999995,peak_vram_gb
p=1,92,92,6.869779815217391,6.605403,1.4136804360008597,6.159946,6.950666999999999,peak_vram_gb
p=2,92,92,6.48429154347826,6.549802,0.46590287912833817,6.1163395,6.7587779999999995,peak_vram_gb
p=4,92,92,6.484324760869565,6.550589,0.4658501547847259,6.1159995,6.7587779999999995,peak_vram_gb
p=8,92,92,6.484356782608696,6.5505875,0.46585401608813776,6.116531999999999,6.75870675,peak_vram_gb
p=16,92,92,6.48434327173913,6.549065499999999,0.46582978542431547,6.11638675,6.7587779999999995,peak_vram_gb
PU,92,92,0.8978322826086957,0.948285,0.14858814008655202,0.890712,0.97963175,drafter_accuracy
p=1,92,92,0.9431820000000001,0.9684465,0.0827035762929775,0.9309725,0.9872035,drafter_accuracy
p=2,92,92,0.9512481847826086,0.9714235,0.07498089756173425,0.944231,0.9887454999999999,drafter_accuracy
p=4,92,92,0.9549215,0.9739169999999999,0.07273088558658415,0.94915875,0.9904087500000001,drafter_accuracy
p=8,92,92,0.9566259891304348,0.975339,0.07254639290288428,0.95110125,0.9904087500000001,drafter_accuracy
p=16,92,92,0.9571812173913044,0.9775830000000001,0.07302728515971532,0.9515487499999999,0.9910760000000001,drafter_accuracy
PU,92,92,0.7768612608695653,0.8618895,0.23264069544581753,0.691791,0.9416865,acceptance_rate
p=1,92,92,0.8719823804347826,0.9131245,0.14788684273069624,0.83319275,0.9679415,acceptance_rate
p=2,92,92,0.8879819347826087,0.9287545,0.13905108360795018,0.86844275,0.9720264999999999,acceptance_rate
p=4,92,92,0.8937424782608695,0.930059,0.13736902732720974,0.8739107500000001,0.97601275,acceptance_rate
p=8,92,92,0.8970252717391304,0.939198,0.13804756163251705,0.8712292500000001,0.97601275,acceptance_rate
p=16,92,92,0.8970766086956522,0.9356105,0.13883520666974936,0.8784832499999999,0.974596,acceptance_rate
PU,92,92,0.7065217391304348,1.0,0.45785077175051975,0.0,1.0,exact_match_numeric
p=1,92,92,0.7282608695652174,1.0,0.4472937149826407,0.0,1.0,exact_match_numeric
p=2,92,92,0.7391304347826086,1.0,0.4415150045959087,0.0,1.0,exact_match_numeric
p=4,92,92,0.6956521739130435,1.0,0.4626519455729922,0.0,1.0,exact_match_numeric
p=8,92,92,0.75,1.0,0.43538539199247317,0.75,1.0,exact_match_numeric
p=16,92,92,0.7608695652173914,1.0,0.4288898323512862,1.0,1.0,exact_match_numeric
